adj_symbol,adj_symbol,symbol,base_asset,quote_asset,status,contract_type
TLM-BUSD,TLM-BUSD,TLMBUSD,TLM,BUSD,TRADING,PERPETUAL
ICP-BUSD,ICP-BUSD,ICPBUSD,ICP,BUSD,TRADING,PERPETUAL
WAVES-BUSD,WAVES-BUSD,WAVESBUSD,WAVES,BUSD,TRADING,PERPETUAL
LINK-BUSD,LINK-BUSD,LINKBUSD,LINK,BUSD,TRADING,PERPETUAL
SAND-BUSD,SAND-BUSD,SANDBUSD,SAND,BUSD,TRADING,PERPETUAL
LTC-BUSD,LTC-BUSD,LTCBUSD,LTC,BUSD,TRADING,PERPETUAL
MATIC-BUSD,MATIC-BUSD,MATICBUSD,MATIC,BUSD,TRADING,PERPETUAL
CVX-BUSD,CVX-BUSD,CVXBUSD,CVX,BUSD,TRADING,PERPETUAL
FIL-BUSD,FIL-BUSD,FILBUSD,FIL,BUSD,TRADING,PERPETUAL
1000SHIB-BUSD,1000SHIB-BUSD,1000SHIBBUSD,1000SHIB,BUSD,TRADING,PERPETUAL
LEVER-BUSD,LEVER-BUSD,LEVERBUSD,LEVER,BUSD,TRADING,PERPETUAL
